DLC01LvlRaiderGun [NPC_:08003E28]
DLC01LvlRaiderMelee [NPC_:08004146]
DLC01LvlRaiderRifle [NPC_:08007F96]
EvergreenMillsLvlRaiderGunEasy01 [NPC_:0601FF54]
LvlGhoulRaider [NPC_:06033584]
LvlGhoulRaiderAmbush [NPC_:0603358B]
LvlRaider2MeleeVarDC [NPC_:0602F721]
LvlRaider2SpecialVarDC [NPC_:0602F723]
LvlRaiderGun [NPC_:0002F6E2]
LvlRaiderGunDC [NPC_:0602F6E2]
LvlRaiderGunGuard [NPC_:0007E1B3]
LvlRaiderGunGuardDC [NPC_:0607E1B3]
LvlRaiderGunMoleRace [NPC_:00053376]
LvlRaiderMeleeAmbushDC [NPC_:060A256A]
LvlRaiderMeleeDC [NPC_:0602F6E3]
LvlRaiderMeleeMoleRace [NPC_:06053374]
LvlRaiderRandomDC [NPC_:060381D8]
LvlRaiderRifleDC [NPC_:0607F4E5]
LvlRaiderRifleGuardLR1024DC [NPC_:060954D0]
LvlRaiderSpecialDC [NPC_:0602F6E4]
Raider1MeleeAMDC "Raider" [NPC_:060295FA]
RaiderBethRuinsSniper2Daytime [NPC_:06023616]
RaiderCampBaseballBatter [NPC_:06018DB9]
