BMRoadblock1MutantGuns [CREA:0011EBC1]
BMRoadblock2MutantGuns [CREA:0011EBBF]
BMRoadblock3MutantGuns [CREA:0011EBC0]
BMSupermutantCentaurFollower [CREA:0013615A]
CapitolBuildingSupermutant [CREA:0009EE04]
ChevyChaseSchoolMutant01 [CREA:0009BE81]
DLC03CrSuperMutant4GunA "Super Mutant Overlord" [CREA:000E2C1A]
FEVSubject "Failed FEV Subject" [CREA:0004C67D]
FFSupermutantCaptiveCaptor [CREA:00097161]
LDMallLvlSupermutantGunPatrolWeaponDrawn [CREA:00049436]
LvlSupermutantAllWithCentaurDC [CREA:06058772]
LvlSupermutantBigGuns [CREA:06092C4A]
LvlSupermutantGunDC [CREA:0603A6FD]
LvlSupermutantGunOrMeleeDC [CREA:060A86EB]
LvlSupermutantMeleeAmbush400HideDC [CREA:06027970]
LvlSupermutantMeleeDC [CREA:0603A6FE]
LvlSupermutantMinigunDC [CREA:06092C4B]
LvlSupermutantMinigunStayAtEdLocDC [CREA:060C6E5E]
LvlSupermutantMissileDC [CREA:06092C4C]
LvlSupermutantMissileStayAtEdLocDC [CREA:060C5CA9]
MQ08LvlSupermutantGun [CREA:06077722]
MS18LvlSupermutantGun [CREA:060AA7C0]
MS18LvlSupermutantMelee [CREA:060AA7BF]
TheMallLvlSupermutantGunGuard [CREA:0604BAF8]
TheMallLvlSupermutantMinigun [CREA:060A0845]
TheMallLvlSupermutantMissile01 [CREA:0609FE8B]
VSpawnTier4SupermutantGun [CREA:0017442D]
VSpawnTier4SupermutantMelee50 [CREA:00174429]
