AAAFyTyMiscBucket01 "Steel Bucket" [MISC:11000800]
AAAFyTyMiscAutoWheel01 "Auto Wheel" [MISC:11000801]
AAAFyTyMiscBarrel01 "Barrel" [MISC:11000802]
AAAFyTyMiscTricycleClean01 "Clean Tricycle" [MISC:11000803]
AAAFyTyMiscOfficeFan01 "Office Fan" [MISC:11000804]
AAAFyTyMiscTricycleDirty01 "Dirty Tricycle" [MISC:11000805]
AAAFyTyMiscSkull "Skull" [MISC:11000806]
AAAFyTyMiscSkeletonTorsoMaleClothes02 "Skeleton Torso" [MISC:11000807]
AAAFyTyMiscSkeletonLeftLegNaked "Left Leg Bones" [MISC:11000808]
AAAFyTyMiscSkeletonRightLegNaked "Right Leg Bones" [MISC:11000809]
AAAFyTyMiscSkeletonLeftArmNaked "Arm Bones" [MISC:1100080A]
AAAFyTyMiscSkeletonTorsoNaked "Skeleton Torso" [MISC:1100080B]
AAAFyTyMiscSkeletonLeftLegMaleClothes "Left Leg Bones" [MISC:1100080C]
AAAFyTyMiscSkeletonRightLegMaleClothes "Right Leg Bones" [MISC:1100080D]
AAAFyTyMiscSkeletonLeftArmMaleClothes "Left Arm Bones" [MISC:1100080E]
AAAFyTyMiscSkeletonTorsoMaleClothes "Skeleton Torso" [MISC:1100080F]
AAAFyTyMiscLampGeneric01 "Lamp" [MISC:11000810]
AAAFyTyMiscGlobe00 "Globe" [MISC:11000811]
AAAFyTyMiscBabyCarriageClean01 "Clean Pram" [MISC:11000812]
AAAFyTyMiscBabyCarriageDirty01 "Dirty Pram" [MISC:11000813]
AAAFyTyMiscWoodPlank01 "Wood Plank" [MISC:11000814]
AAAFyTyMiscWoodPlank02 "Wood Plank" [MISC:11000815]
AAAFyTyMiscTire01 "Tire" [MISC:11000816]
AAAFyTyMiscShoppingCart01 "Shopping Cart" [MISC:11000817]
AAAFyTyMiscCafeteriaTray01 "Cafeteria Tray" [MISC:11000818]
AAAFyTyMiscSkeletonWholeBodyRags "Skeleton" [MISC:11000819]
AAAFyTyMiscSkeletonWholeBodyClothes "Skeleton" [MISC:1100081A]
AAAFyTyMiscTrafficCone01 "Traffic Cone" [MISC:1100081B]
AAAFyTyMiscMilkCrate01 "Milk Crate" [MISC:1100081C]
AAAFyTyMiscSurgicalTray01 "Surgical Tray" [MISC:1100081D]
AAAFyTyMiscFlatMop01 "Flat Mop" [MISC:1100081E]
AAAFyTyMiscBrahminSkull "Brahmin Skull" [MISC:1100081F]
AAAFyTyMiscBrahminRibcage "Brahmin Ribcage" [MISC:11000820]
