000295F6,RaiderWeaponGun [LVLI:000295F6]
0003954D,Supermutant1WeaponGun [LVLI:0003954D]
0003A5B6,Supermutant2WeaponGun [LVLI:0003A5B6]
00092C54,Supermutant3WeaponGun [LVLI:00092C54]
000A84DB,Raider1WeaponGun [LVLI:000A84DB]
000A84DC,Raider2WeaponGun [LVLI:000A84DC]
000A84DD,Raider3WeaponGun [LVLI:000A84DD]
000B8796,SlaverWeaponGunRND [LVLI:000B8796]
000C5C23,Raider1WeaponGunBackup25 [LVLI:000C5C23]
000C5C24,Raider2WeaponGunBackup25 [LVLI:000C5C24]
000C5C26,Raider3WeaponGunBackup25 [LVLI:000C5C26]
000CEA95,Raider1WeaponGunNV [LVLI:000CEA95]
000CEAA1,Raider2WeaponGunNV [LVLI:000CEAA1]
000CEAAB,Raider3WeaponGunNV [LVLI:000CEAAB]
000FF55D,Fiend1WeaponGunNV [LVLI:000FF55D]
000FF55E,Fiend2WeaponGunNV [LVLI:000FF55E]
000FF679,Fiend3WeaponGunNV [LVLI:000FF679]
00179090,PrimmPowderGangerWeaponGunBackup75 [LVLI:00179090]
00179159,FiendInt1WeaponGunNV [LVLI:00179159]
0017915A,FiendInt2WeaponGunNV [LVLI:0017915A]
000B8796,SlaverWeaponGunRND [LVLI:000B8796]
060295F6,RaiderWeaponGunDC [LVLI:060295F6]
0603954D,Supermutant1WeaponGunDC [LVLI:0603954D]
0603A5B6,Supermutant2WeaponGunDC [LVLI:0603A5B6]
06044465,TalonWeaponGun [LVLI:06044465]
06092C54,Supermutant3WeaponGunDC [LVLI:06092C54]
060A84DB,Raider1WeaponGunDC [LVLI:060A84DB]
060A84DC,Raider2WeaponGunDC [LVLI:060A84DC]
060A84DD,Raider3WeaponGunDC [LVLI:060A84DD]
060A84DE,Talon1WeaponGun [LVLI:060A84DE]
060A84DF,Talon2WeaponGun [LVLI:060A84DF]
060A84E0,Talon3WeaponGun [LVLI:060A84E0]
060C5C23,Raider1WeaponGunBackup25DC [LVLI:060C5C23]
060C5C24,Raider2WeaponGunBackup25DC [LVLI:060C5C24]
060C5C26,Raider3WeaponGunBackup25DC [LVLI:060C5C26]
060C5C27,TalonWeaponGunBackup33 [LVLI:060C5C27]
0900104E,WithAmmoTriBeamLaserRifleSupermutant [LVLI:0900104E]
000B8796,SlaverWeaponGunRND [LVLI:000B8796]
000FF55D,Fiend1WeaponGunNV [LVLI:000FF55D]
000FF55E,Fiend2WeaponGunNV [LVLI:000FF55E]
000FF679,Fiend3WeaponGunNV [LVLI:000FF679]
00179090,PrimmPowderGangerWeaponGunBackup75 [LVLI:00179090]
00179159,FiendInt1WeaponGunNV [LVLI:00179159]
0017915A,FiendInt2WeaponGunNV [LVLI:0017915A]
060295F6,RaiderWeaponGunDC [LVLI:060295F6]
0603954D,Supermutant1WeaponGunDC [LVLI:0603954D]
0603A5B6,Supermutant2WeaponGunDC [LVLI:0603A5B6]
06044465,TalonWeaponGun [LVLI:06044465]
06092C54,Supermutant3WeaponGunDC [LVLI:06092C54]
060A84DB,Raider1WeaponGunDC [LVLI:060A84DB]
060A84DC,Raider2WeaponGunDC [LVLI:060A84DC]
060A84DD,Raider3WeaponGunDC [LVLI:060A84DD]
060A84DE,Talon1WeaponGun [LVLI:060A84DE]
060A84DF,Talon2WeaponGun [LVLI:060A84DF]
060A84E0,Talon3WeaponGun [LVLI:060A84E0]
