FemaleEyesHumanAmber "Amber" [HDPT:001E55C9]
FemaleEyesHumanBlue "Blue" [HDPT:0014EC26]
FemaleEyesHumanBlueBloodShot "Blue Bloodshot" [HDPT:0014EC27]
FemaleEyesHumanBlueHazy "Blue Hazy" [HDPT:001B5160]
FemaleEyesHumanBluePale "Pale Blue" [HDPT:0014EC2D]
FemaleEyesHumanBluePaleBloodShot "Pale Blue Bloodshot" [HDPT:0014EC2E]
FemaleEyesHumanBrown "Brown" [HDPT:0014EC28]
FemaleEyesHumanBrownBloodShot "Brown Bloodshot" [HDPT:0014EC29]
FemaleEyesHumanDarkGrey "Dark Grey" [HDPT:001E55C8]
FemaleEyesHumanGreen "Green" [HDPT:0014EC2A]
FemaleEyesHumanGreenAqua "Green Aqua" [HDPT:001E55C7]
FemaleEyesHumanGreenBloodShot "Green Bloodshot" [HDPT:0014EC2B]
FemaleEyesHumanGreenLight "Light Green" [HDPT:001E55C6]
FemaleEyesHumanHazel "Hazel" [HDPT:0004D0EB]
FemaleEyesHumanHazelBloodShot "Hazel Bloodshot" [HDPT:0014EC2C]
FemaleEyesHumanHazelBlue "Hazel Blue" [HDPT:001E55C5]
FemaleEyesHumanHazelGreen "Hazel Green" [HDPT:001E55C4]
FemaleEyesHumanLightBrown "Light Brown" [HDPT:001E55C3]
FemaleEyesHumanLightGrey "Light Grey" [HDPT:001E55C2]
