LipsMalePale "Pale" [CLFM:001E73F0]
LipsMaleFlesh "Flesh" [CLFM:001E73EF]
LipsMaleBluish "Bluish" [CLFM:001E73EB]
LipsMalePink "Pink" [CLFM:001E73EE]
LipsMaleRed "Red" [CLFM:001E73ED]
LipsMaleDarkRed "Dark Red" [CLFM:001E73EC]
LipsMaleDarkSkinFlesh "Dark Skin Flesh" [CLFM:001E73F3]
LipsMaleDarkSkinPink "Dark Skin Pink" [CLFM:001E73EA]
LipsMaleDarkSkinBluish "Dark Skin Bluish" [CLFM:001E73E9]
LipsMaleDarkSkinRed " Dark Skin Red" [CLFM:001E73F1]
LipsMaleDarkSkinDarkRed "Dark Skin Dark Red" [CLFM:001E73F2]
