ArmorBalgruufSteelPlateNoHelmetOutfit [OTFT:00101D9F]
ArmorBandedIronAllOutfit [OTFT:000B1FAE]
ArmorDraugrAllOutfit [OTFT:000F82BB]
ArmorDwarvenAllOutfit [OTFT:00057981]
ArmorDwarvenNoHelmetOutfit [OTFT:00057982]
ArmorDwarvenSimpleOutfit [OTFT:00057A30]
ArmorIronAllOutfit [OTFT:0001697C]
ArmorIronBandedNoHelmetOutfit [OTFT:000B1FAF]
ArmorOrcishAllOutfit [OTFT:000579A5]
ArmorOrcishHoodedOutfit [OTFT:000E962A]
ArmorOrcishNoHelmetOutfit [OTFT:00057A1B]
ArmorSteelAllOutfit [OTFT:00028B43]
ArmorSteelNoHelmetOutfit [OTFT:00028B44]
ArmorSteelPlateAllOutfit [OTFT:00057992]
ArmorSteelPlateNoHelmetOutfit [OTFT:000579A3]
BanditArmorHeavyBossNoShieldOutfit [OTFT:000A95F8]
BanditArmorHeavyBossOutfit [OTFT:0003DED3]
BanditArmorMeleeHeavyNoShieldOutfit [OTFT:000A95F7]
BanditArmorMeleeHeavyOutfit [OTFT:00015BE6]
dunHarmugstahlAdventurerArmor [OTFT:00055D49]
dunSouthfringeBossOutfit [OTFT:000B1213]
dunWhiteRiverWatchWatchmanOutfit [OTFT:00108E29]
ErikOutfit [OTFT:000FF7E6]
MjollOutfit [OTFT:000FDEAC]
MS10HaldynOutfit [OTFT:000E6D6F]
PlayerHousecarlOutfit [OTFT:000FF7E9]
WEWarriorTankOutfit [OTFT:00105543]
DLC2dunHaknirThalinEbonhandOutfit [OTFT:04037FE7]
DLC2MogrulOutfit [OTFT:040271FE]
DLC2RRModynVelethOutfit [OTFT:04035E41]
DLC2RRRedoranGuardOutfit [OTFT:040195AE]
DLC2RRRedoranGuardOutfitNoHelmetNoShield [OTFT:0403CA5B]
