BanditMageOutfit [OTFT:0006E26F]
ClothesMageRobesOutfitNoHood [OTFT:000E9AC4]
CollegeAdeptAlterationOutfit [OTFT:0010DD2F]
CollegeAdeptAlterationOutfitNoHood [OTFT:000D3E02]
CollegeAdeptConjurationOutfit [OTFT:0010DD31]
CollegeAdeptConjurationOutfitNoHood [OTFT:000D3E04]
CollegeAdeptDestructionOutfit [OTFT:0010DD33]
CollegeAdeptDestructionOutfitNoHood [OTFT:000D3E06]
CollegeAdeptIllusionOutfit [OTFT:0010DD35]
CollegeAdeptIllusionOutfitNoHood [OTFT:0010DD37]
CollegeAdeptRestorationOutfit [OTFT:0010DD38]
CollegeAdeptRestorationOutfitNoHood [OTFT:000D3E0A]
CourtWizardOutfit [OTFT:0010FE69]
dunDarklightIlliaOutfit [OTFT:0004F4D7]
dunDarklightSilviaOutfit [OTFT:0004F4D8]
dunIronbindBarrowBeemJaOutfit [OTFT:001093F9]
dunMzulftSynodReasearcherOutfit [OTFT:0008C3C1]
ForswornArmorMagicOutfit [OTFT:00043BDB]
MonkOutfit [OTFT:000C2A5A]
NecromancerOutfit [OTFT:0009EF86]
NecromancerOutfitHood50 [OTFT:00105255]
VigilantOfStendarrOutfit [OTFT:000B3290]
VigilantOfStendarrOutfitHood [OTFT:0010BFF4]
WarlockOutfitLeveled [OTFT:00044CD5]
WarlockOutfitSimple [OTFT:001093AF]
WarlockOutfitSimpleWithHood [OTFT:001093B0]
WEBattlemageOutfit [OTFT:001034EF]
WESpellswordOutfit [OTFT:001034F6]
