LItemArmorDwarvenShieldHeavy [LVLI:000F4C83]
LItemArmorShieldAny [LVLI:000165E6]
LItemArmorShieldAnyBest [LVLI:000571B1]
LItemArmorShieldAnyReward [LVLI:000CD9F2]
LItemArmorShieldAnyTown [LVLI:000165E7]
LItemArmorShieldHeavy [LVLI:000165C2]
LItemArmorShieldHeavyBest [LVLI:000571A8]
LitemArmorShieldHeavyBlacksmith [LVLI:0009BC3C]
LItemArmorShieldHeavyReward [LVLI:000CD9F5]
LItemArmorShieldHeavySpecial [LVLI:001031CA]
LitemArmorShieldHeavyTown [LVLI:000165C3]
LItemArmorShieldLight [LVLI:000165E3]
LItemArmorShieldLightBest [LVLI:000571A9]
LItemArmorShieldLightBlacksmith [LVLI:0009BC3D]
LItemArmorShieldLightReward [LVLI:000CD9F6]
LItemArmorShieldLightSpecial [LVLI:001031CB]
LItemArmorShieldLightTown [LVLI:000165E4]
LItemBanditBossShield [LVLI:0003DF22]
LItemBanditShield [LVLI:00039D2D]
LItemBanditShield20 [LVLI:000C0196]
LItemBanditShield50 [LVLI:00037C1C]
LItemOrcStrongholdShield [LVLI:0008CA48]
DLC2BonemoldShield20 [LVLI:04026B53]
DLC2ChitinShield20 [LVLI:04026B54]
DLC2LItemArmorShieldHeavy [LVLI:0402BC21]
DLC2LItemArmorShieldHeavyBest [LVLI:0401FF09]
DLC2LitemArmorShieldHeavyTown [LVLI:040374F6]
DLC2LItemArmorShieldLight [LVLI:0402BC22]
DLC2LItemArmorShieldLightTown [LVLI:040374F5]
