LItemBanditBattleaxe [LVLI:00037C1E]
LItemBanditBossBattleaxe [LVLI:0003DF1E]
LItemBanditBossGreatsword [LVLI:0003DF23]
LItemBanditBossWarhammer [LVLI:0003DF21]
LItemBanditGreatsword [LVLI:00037C1D]
LItemBanditWarhammer [LVLI:00037C1F]
LItemBanditWeapon2H [LVLI:00037C21]
LItemBanditWeapon2HBoss [LVLI:0003DEDA]
LItemBlacksmithMinBattleaxe [LVLI:000F627D]
LItemBlacksmithMinGreatsword [LVLI:000F6283]
LItemBlacksmithMinWarhammer [LVLI:000F6284]
LItemOrcStrongholdBattleaxe [LVLI:0008CA3F]
LItemOrcStrongholdGreatsword [LVLI:0008CA40]
LItemOrcStrongholdWarhammer [LVLI:0008CA43]
LItemSoldierSonsBattleaxe [LVLI:0001715A]
LItemSoldierSonsGreatsword [LVLI:0001715B]
LItemSoldierSonsWarhammer [LVLI:00017159]
LItemSoldierSonsWeapon2H [LVLI:0001715C]
LItemWeaponBattleAxe [LVLI:0001657C]
LItemWeaponBattleAxeBest [LVLI:0005719B]
LItemWeaponBattleAxeBlacksmith [LVLI:0009BC3E]
LItemWeaponBattleAxeSpecial [LVLI:001031AC]
LItemWeaponBattleAxeTown [LVLI:000165BF]
LItemWeaponDwarvenWarhammer [LVLI:000F4C8A]
LItemWeaponGreatSword [LVLI:0001657A]
LItemWeaponGreatSwordBest [LVLI:000571A4]
LItemWeaponGreatSwordBlacksmith [LVLI:0009BC41]
LItemWeaponGreatSwordSpecial [LVLI:001031AF]
LItemWeaponGreatSwordTown [LVLI:000165C0]
LItemWeaponWarhammer [LVLI:000165B8]
LItemWeaponWarhammerBest [LVLI:000571AC]
LItemWeaponWarhammerBlacksmith [LVLI:0009BC45]
LItemWeaponWarhammerSpecial [LVLI:001031B2]
LItemWeaponWarhammerTown [LVLI:000165C1]
DLC2LItemWeaponBattleAxe [LVLI:0402BC0D]
DLC2LItemWeaponBattleAxeTown [LVLI:040374E3]
DLC2LItemWeaponGreatSword [LVLI:0402BC10]
DLC2LItemWeaponGreatSwordTown [LVLI:040374E6]
DLC2LItemWeaponWarhammer [LVLI:0402BC14]
DLC2LItemWeaponWarhammerTown [LVLI:040374E9]
LItemWeaponGreatSwordNotOrcish [LVLI:0403324B]
