LvlDraugrAmbushBerserkerMaleNoFurniture [NPC_:000E7A56]
LvlDraugrAmbushMelee1HDefenderFemale [NPC_:000BF7B3]
LvlDraugrAmbushMelee1HDefenderMale [NPC_:0006F837]
LvlDraugrAmbushMelee1HFemale [NPC_:000BF7AA]
LvlDraugrAmbushMelee1HHelmetFemale [NPC_:000BF7B4]
LvlDraugrAmbushMelee1HHelmetMale [NPC_:000567CB]
LvlDraugrAmbushMelee1HMale [NPC_:000567C8]
LvlDraugrAmbushMelee2HBerserkerFemale [NPC_:000BF7B6]
LvlDraugrAmbushMelee2HBerserkerMale [NPC_:0006F838]
LvlDraugrAmbushMelee2HFemale [NPC_:000BF7B5]
LvlDraugrAmbushMelee2HHelmetFemale [NPC_:000BF7B7]
LvlDraugrAmbushMelee2HHelmetMale [NPC_:0004A59A]
LvlDraugrAmbushMelee2HMale [NPC_:0004A04E]
LvlDraugrAmbushMissileFemale [NPC_:0006F83A]
LvlDraugrAmbushMissileMale [NPC_:000A6850]
LvlDraugrAmbushWarlock [NPC_:0006F83E]
LvlDraugrAmbushWarlockFemale [NPC_:001019BB]
