LvlAmbientCreatures [NPC_:000EC968]
LvlAmbientCreaturesSnow [NPC_:000EC96A]
LvlAnimalCanyonPrey [NPC_:000422B4]
LvlAnimalForestPrey [NPC_:000422AF]
LvlAnimalMarshPrey [NPC_:00042478]
LvlAnimalMountainSnowCustomIceWraithFrostTroll [NPC_:00106387]
LvlAnimalMountainSnowPrey [NPC_:000422B2]
LvlAnimalPlainsPrey [NPC_:000422B1]
LvlAnimalSnowFields [NPC_:00065A3B]
LvlAtronachAny [NPC_:0004247A]
LvlBanditAmbushMelee1H [NPC_:00093815]
LvlBanditAmbushMeleeBeserker [NPC_:000D0E53]
LvlBanditAmbushMeleeEvenTonedM [NPC_:000D0017]
LvlBanditAmbushMeleeNordM [NPC_:000D07C9]
LvlBanditAmbushMeleeTank [NPC_:000D0E54]
LvlBanditAmbushMissile [NPC_:00093814]
LvlBanditAmbushMissileEvenTonedF [NPC_:000D0018]
LvlBanditAmbushMissileEvenTonedM [NPC_:0010474A]
LvlBanditAmbushWizard [NPC_:0008E19D]
LvlBanditAmbushWizardCommonerM [NPC_:000D07CA]
LvlBanditGhostMelee1HFemale "Ghost" [NPC_:000D93A2]
LvlBanditGhostMelee1HMale "Ghost" [NPC_:000B1F96]
LvlBanditGhostMelee2HFemale "Ghost" [NPC_:000D93A3]
LvlBanditGhostMelee2HMale "Ghost" [NPC_:000B1F97]
LvlBanditGhostMeleeBerserkerFemale "Ghost" [NPC_:000D93A4]
LvlBanditGhostMeleeBerserkerMale "Ghost" [NPC_:000B1F98]
LvlBanditGhostMeleeTankFemale "Ghost" [NPC_:000D93A5]
LvlBanditGhostMeleeTankMale "Ghost" [NPC_:000B1F99]
LvlBanditGhostMissileFemale "Ghost" [NPC_:000D93A6]
LvlBanditGhostMissileMale "Ghost" [NPC_:000B1F9A]
LvlBanditGhostWizardFemale "Ghost" [NPC_:000D93A7]
LvlBanditGhostWizardMale "Ghost" [NPC_:000B1F9B]
LvlBanditMelee1H [NPC_:0003DECB]
LvlBanditMelee1HAggro1024 [NPC_:000B6FCD]
LvlBanditMelee1HGuard [NPC_:0003DF52]
LvlBanditMelee2H [NPC_:0001E79D]
LvlBanditMelee2HGuard [NPC_:0002639D]
LvlBanditMeleeAny [NPC_:0001E79C]
LvlBanditMeleeAnyAggro1024 [NPC_:000B623A]
LvlBanditMeleeAnyAggro1536 [NPC_:000F62D7]
LvlBanditMeleeAnyGuard [NPC_:0003DF51]
LvlBanditMeleeBerserker [NPC_:0003DECC]
LvlBanditMeleeCommonerF [NPC_:0001AEF1]
LvlBanditMeleeCommonerFAggro1024 [NPC_:0009BD70]
LvlBanditMeleeCommonerM [NPC_:0001AF77]
LvlBanditMeleeEvenTonedF [NPC_:0001AFBD]
LvlBanditMeleeEvenTonedM [NPC_:0001B060]
LvlBanditMeleeNordF [NPC_:0001B083]
LvlBanditMeleeNordM [NPC_:0001B0BC]
LvlBanditMeleeOrcM [NPC_:0001B0EF]
LvlBanditMeleeTank [NPC_:00015BE5]
LvlBanditMeleeTankAggro1024 [NPC_:000B623C]
LvlBanditMeleeTankAggro1536 [NPC_:000F62D9]
LvlBanditMeleeTankGuard [NPC_:0003DF53]
LvlBanditMissile [NPC_:0001E79E]
LvlBanditMissileAggro1024 [NPC_:000B623B]
LvlBanditMissileAggro1536 [NPC_:000F62D8]
LvlBanditMissileAmbush [NPC_:000F31E4]
LvlBanditMissileAmbushCommonerF [NPC_:000D07B6]
LvlBanditMissileAmbushHoldPositionLinkCustom02256 [NPC_:000F31E7]
LvlBanditMissileCommonerF [NPC_:0001B0BD]
LvlBanditMissileCommonerM [NPC_:0001B0BE]
LvlBanditMissileCommonerMAggro1024 [NPC_:0009BD71]
LvlBanditMissileEvenTonedF [NPC_:0001B0BF]
LvlBanditMissileEvenTonedM [NPC_:0001B0C7]
LvlBanditMissileEvenTonedMAggro1024 [NPC_:000C007D]
LvlBanditMissileGuard [NPC_:00026372]
